,Ciudad_Origen,Ciudad_Destino,lat_st,lng_st,lat_end,lng_end,distance_km
85,MEDELLIN,MANIZALES,6.2447,-75.5748,5.0661,-75.4847,131.43300738465263
86,MEDELLIN,NEIVA,6.2447,-75.5748,2.9275,-75.2875,370.2274462121602
87,MEDELLIN,PEREIRA,6.2447,-75.5748,4.8143,-75.6946,159.60489917708995
88,MEDELLIN,QUIBDO,6.2447,-75.5748,5.6923,-76.6582,134.64235437025923
89,IBAGUE,MEDELLIN,4.4378,-75.2006,6.2447,-75.5748,205.1444865952822
90,MONTERIA,BARRANQUILLA,8.76,-75.8856,10.9639,-74.7964,272.56537417993763
91,MONTERIA,MEDELLIN,8.76,-75.8856,6.2447,-75.5748,281.7791759818034
92,MANIZALES,BOGOTA,5.0661,-75.4847,4.6126,-74.0705,164.6052602895823
93,MANIZALES,MEDELLIN,5.0661,-75.4847,6.2447,-75.5748,131.43300738465263
94,NEIVA,MEDELLIN,2.9275,-75.2875,6.2447,-75.5748,370.2274462121602
95,PEREIRA,MEDELLIN,4.8143,-75.6946,6.2447,-75.5748,159.60489917708995
96,QUIBDO,BOGOTA,5.6923,-76.6582,4.6126,-74.0705,310.7043187660489
97,QUIBDO,MEDELLIN,5.6923,-76.6582,6.2447,-75.5748,134.64235437025923
98,BOGOTA,MEDELLIN,4.6126,-74.0705,6.2447,-75.5748,246.29759455313413
99,BOGOTA,INIRIDA,4.6126,-74.0705,3.8708,-67.9211,686.8731354422314
100,BOGOTA,MITU,4.6126,-74.0705,1.2503,-70.235,566.694853090681
101,BOGOTA,PUERTO CARRENO,4.6126,-74.0705,6.1889,-67.4858,749.6854711343746
102,MEDELLIN,BOGOTA,6.2447,-75.5748,4.6126,-74.0705,246.29759455313413
103,INIRIDA,BOGOTA,3.8708,-67.9211,4.6126,-74.0705,686.8731354422314
104,INIRIDA,VILLAVICENCIO,3.8708,-67.9211,4.1425,-73.6294,633.9011461576093
105,MITU,BOGOTA,1.2503,-70.235,4.6126,-74.0705,566.694853090681
106,PUERTO CARRENO,BOGOTA,6.1889,-67.4858,4.6126,-74.0705,749.6854711343746
107,PUERTO CARRENO,VILLAVICENCIO,6.1889,-67.4858,4.1425,-73.6294,717.3687267951065
108,VILLAVICENCIO,INIRIDA,4.1425,-73.6294,3.8708,-67.9211,633.9011461576093
109,VILLAVICENCIO,MITU,4.1425,-73.6294,1.2503,-70.235,495.52042302988445
110,VILLAVICENCIO,PUERTO CARRENO,4.1425,-73.6294,6.1889,-67.4858,717.3687267951065
111,SAN ANDRES,BARRANQUILLA,12.5847,-81.7006,10.9639,-74.7964,772.8196377358148
112,BARRANQUILLA,SAN ANDRES,10.9639,-74.7964,12.5847,-81.7006,772.8196377358148
113,SAN ANDRES,ARMENIA,12.5847,-81.7006,4.5389,-75.6725,1113.0848897128128
114,SAN ANDRES,BUCARAMANGA,12.5847,-81.7006,7.1186,-73.1161,1119.4376076482013
115,SAN ANDRES,PEREIRA,12.5847,-81.7006,4.8143,-75.6946,1087.025434049379
116,ARMENIA,SAN ANDRES,4.5389,-75.6725,12.5847,-81.7006,1113.0848897128128
117,ARMENIA,CARTAGENA,4.5389,-75.6725,10.4236,-75.5253,654.5498108435748
118,BUCARAMANGA,SAN ANDRES,7.1186,-73.1161,12.5847,-81.7006,1119.4376076482013
119,CARTAGENA,ARMENIA,10.4236,-75.5253,4.5389,-75.6725,654.5498108435748
120,CARTAGENA,NEIVA,10.4236,-75.5253,2.9275,-75.2875,833.9413193306069
121,CARTAGENA,VILLAVICENCIO,10.4236,-75.5253,4.1425,-73.6294,729.0281181315886
122,NEIVA,CARTAGENA,2.9275,-75.2875,10.4236,-75.5253,833.9413193306069
123,PEREIRA,SAN ANDRES,4.8143,-75.6946,12.5847,-81.7006,1087.025434049379
124,VILLAVICENCIO,CARTAGENA,4.1425,-73.6294,10.4236,-75.5253,729.0281181315886
